candidate_name,source,locator,region,entity_type_candidate,duplicate_check,decision,decision_reason,reviewed_by
子育て幽霊,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「子育て幽霊」,兵庫県,folklore_being,kosodate_yurei,reject,既存の類型entityあり・同名地域例を新規個体としない,Codex
平家の怨霊,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story3/,本文「平家の怨霊」,兵庫県,named_supernatural_entity,taira_no_tomomori,defer,平知盛既存entityと平家一門の集団をどう分けるか未決,Codex
神池寺の大蛇,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story9/,本文「神池寺の澄まずの池」,兵庫県,folklore_being,同名なし,admit,寺の大蛇という限定された怪異を本文で確認,Codex
佐用安川の猫,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story10/,本文「佐用安川の猫堂」,兵庫県,folklore_being,同名なし,admit,死後に恨みを語る一匹の猫を索引・名称は記述的,Codex
東本郷村の火の玉,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story11/,本文「東本郷村の火の玉」,兵庫県,supernatural_phenomenon,同名なし,admit,個別の火の玉遭遇譚を本文で確認,Codex
芝右衛門狸,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「芝右衛門狸」,兵庫県,named_supernatural_entity,shibaemon_danuki,reject,既存entity,Codex
犬飼村の猿神,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story14/,本文「犬飼村の猿神退治」,兵庫県,folklore_being,同名なし,defer,大猿が狸に変わる叙述と猿神の粒度が不明,Codex
犬寺の犬,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story15/,本文「犬寺ものがたり」,兵庫県,folklore_being,同名なし,reject,確認箇所では主人を救う普通の犬,Codex
唐櫃の黄金の鶏,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story16/,本文「唐櫃の黄金の鶏」,兵庫県,object_spirit,同名なし,reject,埋めた金の鶏・石の話で独立した怪異個体を確認できない,Codex
沼島女郎,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story19/,本文「沼島女郎」,兵庫県,historical_person_in_supernatural_tradition,同名なし,reject,題名の女性自身は怪異として叙述されない,Codex
益気の八十橋,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/story20/,本文「益気の八十橋」,兵庫県,supernatural_phenomenon,同名なし,reject,神々の通路とされる岩場の地名で独立entityではない,Codex
おりゅう柳,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「おりゅう柳」,兵庫県,named_supernatural_entity,oryu_yanagi,reject,既存entity,Codex
明石の大ダコ,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「明石の大ダコ」,兵庫県,folklore_being,akashi_no_oodako,reject,既存entity,Codex
およし狐,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「およし狐」,兵庫県,named_supernatural_entity,oyoshi_gitsune,reject,既存entity,Codex
千草の老人,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「千草の老人」,兵庫県,named_supernatural_entity,chigusa_rojin,reject,既存entity,Codex
多可のあまんじゃく,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「多可のあまんじゃく」,兵庫県,folklore_being,taka_amanojaku,reject,既存entity,Codex
篠ヶ峰の鬼,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「篠ヶ峰の鬼」,兵庫県,folklore_being,sasagamine_oni,reject,既存entity,Codex
夢前川の河童,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「夢前川の河童」,兵庫県,folklore_being,yumesakigawa_kappa,reject,既存entity,Codex
おさかべ姫,https://rekihaku.pref.hyogo.lg.jp/digital_museum/legend3/,伝説一覧「おさかべ姫」,兵庫県,named_supernatural_entity,osakabehime,reject,既存entity,Codex
笹井のタケ坊,https://www.city.sayama.saitama.jp/shisei/kouhou/koho/sayamanomukashi/202608.html,本文「笹井のタケ坊河童の話」,埼玉県,named_supernatural_entity,同名なし,admit,市掲載の再話がタケ坊という個別名を明示,Codex
ザックリ婆,https://www.city.sayama.saitama.jp/shisei/kouhou/koho/sayamanomukashi/202506.html,本文「ざっくり婆の話」,埼玉県,folklore_being,小豆婆entityなし,admit,市掲載の再話が地域呼称を明示・広域類型の成立史は主張しない,Codex
智光山の大蛇,https://www.city.sayama.saitama.jp/shisei/kouhou/koho/sayamanomukashi/202405.html,本文「智光山の大蛇の話」,埼玉県,folklore_being,同名なし,defer,大蛇と九頭竜権現の同一性が登場人物の解釈にとどまる,Codex
